# loss,val_loss,acc,val_acc
2.956020116806030273e+00,2.017213106155395508e+00,1.937678307294845581e-01,7.559523582458496094e-01
2.024253845214843750e+00,1.250838994979858398e+00,5.106429457664489746e-01,9.010416865348815918e-01
1.467269897460937500e+00,8.317642211914062500e-01,6.528418064117431641e-01,9.233630895614624023e-01
1.144894003868103027e+00,5.964137911796569824e-01,7.386438250541687012e-01,9.479166865348815918e-01
9.267713427543640137e-01,4.662920236587524414e-01,7.956989407539367676e-01,9.627976417541503906e-01
7.716351747512817383e-01,3.822922110557556152e-01,8.330041766166687012e-01,9.665178656578063965e-01
6.681799888610839844e-01,3.221578598022460938e-01,8.626289367675781250e-01,9.702380895614624023e-01
5.846217870712280273e-01,2.749820649623870850e-01,8.788676857948303223e-01,9.717261791229248047e-01
5.256673097610473633e-01,2.434505522251129150e-01,8.865481615066528320e-01,9.761904478073120117e-01
4.729140400886535645e-01,2.163790464401245117e-01,8.990563750267028809e-01,9.635416865348815918e-01
4.162507355213165283e-01,1.878259032964706421e-01,9.135395884513854980e-01,9.769345521926879883e-01
3.886857628822326660e-01,1.715717613697052002e-01,9.212201237678527832e-01,9.769345521926879883e-01
3.484389483928680420e-01,1.534437835216522217e-01,9.346060752868652344e-01,9.821428656578063965e-01
3.282378017902374268e-01,1.452278792858123779e-01,9.352644085884094238e-01,9.821428656578063965e-01
2.943484187126159668e-01,1.363615393638610840e-01,9.457976818084716797e-01,9.806547760963439941e-01
2.817736268043518066e-01,1.289933323860168457e-01,9.482115507125854492e-01,9.799107313156127930e-01
2.556311786174774170e-01,1.192038282752037048e-01,9.482115507125854492e-01,9.813988208770751953e-01
2.342284470796585083e-01,1.113006919622421265e-01,9.583058953285217285e-01,9.806547760963439941e-01
2.144659757614135742e-01,1.058805584907531738e-01,9.609392285346984863e-01,9.836309552192687988e-01
2.195467501878738403e-01,1.009380146861076355e-01,9.569892287254333496e-01,9.873511791229248047e-01
2.036043256521224976e-01,9.836312383413314819e-02,9.626947641372680664e-01,9.828869104385375977e-01
1.869067698717117310e-01,9.032889455556869507e-02,9.662058353424072266e-01,9.851190447807312012e-01
1.757593601942062378e-01,8.792074769735336304e-02,9.675225019454956055e-01,9.851190447807312012e-01
1.720434874296188354e-01,8.468433469533920288e-02,9.690585732460021973e-01,9.880952239036560059e-01
1.499877721071243286e-01,8.967927843332290649e-02,9.743252396583557129e-01,9.813988208770751953e-01
1.588819772005081177e-01,7.626259326934814453e-02,9.703752398490905762e-01,9.858630895614624023e-01
1.436490267515182495e-01,7.505656778812408447e-02,9.736669063568115234e-01,9.828869104385375977e-01
1.370167434215545654e-01,7.431636750698089600e-02,9.727891087532043457e-01,9.843750000000000000e-01
1.337826400995254517e-01,7.048549503087997437e-02,9.745446443557739258e-01,9.828869104385375977e-01
1.291285455226898193e-01,7.726699113845825195e-02,9.773973822593688965e-01,9.799107313156127930e-01
1.189069300889968872e-01,6.577635556459426880e-02,9.782751798629760742e-01,9.880952239036560059e-01
1.143908500671386719e-01,6.650346517562866211e-02,9.806890487670898438e-01,9.836309552192687988e-01
1.242096796631813049e-01,6.869722902774810791e-02,9.747641086578369141e-01,9.880952239036560059e-01
1.043211743235588074e-01,7.026747614145278931e-02,9.826640486717224121e-01,9.821428656578063965e-01
1.000233292579650879e-01,6.860722601413726807e-02,9.826640486717224121e-01,9.821428656578063965e-01
9.825009852647781372e-02,6.297966092824935913e-02,9.833223819732666016e-01,9.836309552192687988e-01
9.303548187017440796e-02,6.190797314047813416e-02,9.859556555747985840e-01,9.836309552192687988e-01
9.473322331905364990e-02,5.920001491904258728e-02,9.826640486717224121e-01,9.880952239036560059e-01
8.753965049982070923e-02,5.509431660175323486e-02,9.874917864799499512e-01,9.851190447807312012e-01
9.148964285850524902e-02,6.891392916440963745e-02,9.826640486717224121e-01,9.806547760963439941e-01
8.122299611568450928e-02,5.903797969222068787e-02,9.883695244789123535e-01,9.851190447807312012e-01
7.500259578227996826e-02,6.053686887025833130e-02,9.879306554794311523e-01,9.843750000000000000e-01
8.138652145862579346e-02,5.520511791110038757e-02,9.855167865753173828e-01,9.866071343421936035e-01
7.778156548738479614e-02,5.740937590599060059e-02,9.861751198768615723e-01,9.828869104385375977e-01
7.207116484642028809e-02,5.582763999700546265e-02,9.877111911773681641e-01,9.866071343421936035e-01
6.990921497344970703e-02,5.764662101864814758e-02,9.863945841789245605e-01,9.821428656578063965e-01
7.288163155317306519e-02,6.015747413039207458e-02,9.850779175758361816e-01,9.806547760963439941e-01
6.905606389045715332e-02,5.406283214688301086e-02,9.861751198768615723e-01,9.821428656578063965e-01
6.426223367452621460e-02,5.516407638788223267e-02,9.892473220825195312e-01,9.851190447807312012e-01
6.272514909505844116e-02,5.035435408353805542e-02,9.899056553840637207e-01,9.851190447807312012e-01
6.167551502585411072e-02,5.654880031943321228e-02,9.903445243835449219e-01,9.813988208770751953e-01
5.531439557671546936e-02,4.458057135343551636e-02,9.923195242881774902e-01,9.888392686843872070e-01
6.079597026109695435e-02,5.313801020383834839e-02,9.877111911773681641e-01,9.866071343421936035e-01
5.909099057316780090e-02,4.923838749527931213e-02,9.896861910820007324e-01,9.880952239036560059e-01
5.792796984314918518e-02,4.718532785773277283e-02,9.901250600814819336e-01,9.858630895614624023e-01
5.400105938315391541e-02,5.425976589322090149e-02,9.896861910820007324e-01,9.858630895614624023e-01
5.277859419584274292e-02,4.262500256299972534e-02,9.914417266845703125e-01,9.895833134651184082e-01
4.970061406493186951e-02,4.765657708048820496e-02,9.921000599861145020e-01,9.836309552192687988e-01
4.747522249817848206e-02,5.807569622993469238e-02,9.925389289855957031e-01,9.843750000000000000e-01
4.840415716171264648e-02,4.663417860865592957e-02,9.918805956840515137e-01,9.873511791229248047e-01
4.646713659167289734e-02,4.832549393177032471e-02,9.916611909866333008e-01,9.836309552192687988e-01
4.453589022159576416e-02,4.155341163277626038e-02,9.925389289855957031e-01,9.866071343421936035e-01
4.867417737841606140e-02,4.325802996754646301e-02,9.912223219871520996e-01,9.895833134651184082e-01
4.562228173017501831e-02,4.622609913349151611e-02,9.931972622871398926e-01,9.873511791229248047e-01
4.057533293962478638e-02,4.991888254880905151e-02,9.940750598907470703e-01,9.866071343421936035e-01
4.051858931779861450e-02,4.496542736887931824e-02,9.938555955886840820e-01,9.836309552192687988e-01
4.566644132137298584e-02,4.862672835588455200e-02,9.901250600814819336e-01,9.836309552192687988e-01
4.250131547451019287e-02,4.415199160575866699e-02,9.929778575897216797e-01,9.866071343421936035e-01
4.073058441281318665e-02,5.684951320290565491e-02,9.923195242881774902e-01,9.813988208770751953e-01
3.941922634840011597e-02,4.412648081779479980e-02,9.927884340286254883e-01,9.858630895614624023e-01
3.868105635046958923e-02,4.895025864243507385e-02,9.934167265892028809e-01,9.821428656578063965e-01
3.757655620574951172e-02,5.518068745732307434e-02,9.934167265892028809e-01,9.836309552192687988e-01
3.916944190859794617e-02,4.217690229415893555e-02,9.929778575897216797e-01,9.866071343421936035e-01
3.326627239584922791e-02,4.038619250059127808e-02,9.958305954933166504e-01,9.858630895614624023e-01
3.326808288693428040e-02,4.247017949819564819e-02,9.929778575897216797e-01,9.866071343421936035e-01
